Symbol,Company Name,Sector,Industry/Subsector
EGX:ORAS,Orascom Construction,Industrial Goods,Engineering & Construction
EGX:ORHD,Orascom Development Egypt,Travel & Leisure,Tourism Development
EGX:ORWE,Oriental Weavers,Textile & Durables,Carpets
EGX:PHAR,Pharco Pharmaceuticals,Health Care,Pharmaceuticals
EGX:PHDC,Palm Hills Developments,Real Estate,Real Estate Development
EGX:POUL,Cairo Poultry,Food & Beverages,Poultry
EGX:PRCL,Sheeny for Ceramic,Building Materials,Ceramics
EGX:PRDC,Pioneer Properties,Real Estate,Real Estate Development
EGX:PRMH,Prime Holding,Non-bank Financial,Financial Services
EGX:RACC,Raya Contact Center,IT & Communication,Outsourcing
EGX:RAYA,Raya Holding for Financial Investments,Non-bank Financial,Diversified Investment
EGX:RMDA,Tenth of Ramadan Pharma (Rameda),Health Care,Pharmaceuticals
EGX:RREI,Rekaz Real Estate,Real Estate,Real Estate Development
EGX:RUBX,Rubex International,Industrial Goods,Plastics & Chemicals
EGX:SCEM,Sinai Cement,Building Materials,Cement
EGX:SCFM,South Cairo & Giza Flour Mills,Food & Beverages,Milling
EGX:SCTS,Suez Canal Company for Technology,IT & Communication,Technology
EGX:SDTI,Sharm Dreams for Tourism,Travel & Leisure,Tourism Development
EGX:SEIG,Saudi Egyptian Investment,Non-bank Financial,Investments
EGX:SIPC,Sabaa International,Health Care,Pharmaceuticals
EGX:SKPC,Sidi Kerir Petrochemicals,Basic Resources,Petrochemicals
EGX:SMFR,Samad Misr,Basic Resources,Fertilizers
EGX:SNFC,Sharkia Industries,Food & Beverages,Food Processing
EGX:SPIN,Alexandria Spinning (Spinalex),Textile & Durables,Textiles
EGX:SPMD,Speed Medical,Health Care,Medical Services
EGX:SUGR,Delta Sugar,Food & Beverages,Sugar Production
EGX:SVCE,South Valley Cement,Building Materials,Cement
EGX:SWDY,Elsewedy Electric,Industrial Goods,Electrical Equipment
EGX:TALM,Taaleem Management Services,Education Services,Higher Education
EGX:TANM,Tanmiya for Real Estate Investment,Real Estate,Real Estate Development
EGX:TAQA,Taqa Arabia,Energy & Support,Energy Distribution
EGX:TMGH,TMG Holding,Real Estate,Real Estate Development
EGX:UEFM,Upper Egypt Flour Mills,Food & Beverages,Milling
EGX:UEGC,Upper Egypt General Contracting,Real Estate,Construction
EGX:UNIP,Universal for Paper & Packaging,Paper & Packaging,Paper Products
EGX:UNIT,United Housing & Development,Real Estate,Real Estate Development
EGX:WCDF,West & Central Delta Flour Mills,Food & Beverages,Milling
EGX:WKOL,Wadi Kom Ombo Land Reclamation,Finance,Land Development
EGX:ZEOT,Extracted Oils,Food & Beverages,Edible Oils
EGX:ZMID,Zahraa Maadi Investment & Development,Real Estate,Real Estate Development
